district area num_bedrooms house_type house_volume num_storeys garden_type garage year price
4 385 5 6 775 3 3 3 1934 788
3 156 2 1 350 1 1 1 1996 449
4 90 3 1 200 1 1 1 1950 169
3 86 3 2 410 3 2 1 1966 269
1 73 3 2 330 3 3 1 1950 225
3 125 2 1 300 2 1 2 1950 298
2 230 4 5 335 3 3 3 1994 379
2 151 3 3 300 3 3 1 1989 263
1 300 4 4 435 3 4 3 1968 415
1 475 5 5 510 3 4 3 1954 629
4 459 4 5 650 3 4 2 1993 669.5
1 85 3 1 200 1 1 1 1975 185
4 90 4 1 210 1 1 2 1963 255
2 178 3 4 360 2 2 2 1989 347.5
1 229 4 4 435 3 2 2 1960 365
2 225 3 4 450 3 3 3 1993 469
2 203 4 3 380 3 2 3 1970 359
2 292 3 6 500 2 2 2 1980 520
1 125 3 3 395 2 2 2 1975 284
1 261 3 4 370 3 3 1 1961 349.5
2 310 3 5 450 2 3 1 1989 459
2 379 3 4 350 3 3 2 1955 325
4 650 3 5 420 3 4 1 1950 475
4 455 4 5 395 3 3 2 1965 427.5
4 357 3 4 380 3 4 3 1965 349
2 254 3 3 315 2 2 1 1968 289
4 234 3 4 400 3 3 2 1988 398.5
4 234 3 4 375 3 3 2 1983 349
4 318 4 3 400 3 3 1 1961 345
4 896 5 6 550 3 4 2 1986 695
2 176 4 3 370 3 3 1 1984 327
2 186 3 2 305 2 3 3 1981 289
2 135 3 2 310 3 3 1 1970 239
1 70 2 2 325 3 3 1 1943 215
1 145 3 4 375 3 2 1 1959 289.5
3 110 3 1 250 1 1 1 1992 279
3 155 4 1 375 1 1 1 1985 299
3 150 2 1 330 2 1 1 1940 379
3 150 3 1 340 1 1 1 1983 337.5
1 180 3 2 300 3 3 1 1972 195
4 120 3 1 250 1 1 1 1995 189.5
2 195 3 2 350 3 3 1 1978 219
4 129 2 3 375 3 3 1 1985 329
4 151 3 3 365 3 3 2 1991 338
2 251 4 3 435 3 3 2 1990 338
4 228 4 3 425 3 2 2 1985 375
4 735 4 5 710 3 3 2 1983 595
4 165 3 3 375 3 4 1 1990 307.5
4 179 2 3 480 2 4 1 1977 359
4 200 3 4 400 3 2 2 1988 385
4 179 3 3 490 2 3 1 1977 379
4 315 4 5 500 3 2 2 1986 509
4 300 2 5 760 2 4 2 1976 665
4 686 5 5 790 3 3 2 1991 765
2 250 3 2 300 2 2 1 1968 289
2 238 3 5 445 2 3 2 1996 457
3 150 6 1 350 2 1 1 1956 535
2 104 3 2 400 3 2 2 1974 275
2 194 4 2 450 3 2 2 1972 329
3 120 2 2 360 3 1 1 1953 265
2 206 3 4 340 3 3 3 1987 310
2 262 5 4 425 3 3 2 1985 379
1 75 4 1 200 1 1 1 1963 179.5
2 270 4 4 525 3 2 1 1978 389
3 85 2 1 240 1 1 1 1988 289
4 75 2 1 180 1 1 1 1963 139
4 258 3 4 375 3 2 2 1970 349
3 85 5 1 240 1 1 1 1956 200
2 155 2 2 265 2 3 1 1980 209
3 100 2 1 220 1 1 1 1948 259
3 110 2 1 230 1 1 1 1948 275
3 500 6 2 1550 3 1 1 1880 230
3 180 4 3 400 3 3 1 1965 392.5
1 140 3 2 200 2 2 1 1978 229
2 180 3 2 240 3 3 1 1982 252
2 200 3 2 290 3 3 1 1982 269
1 80 2 1 200 1 1 1 1962 182.5
2 208 3 3 375 3 3 2 1985 380
4 718 4 6 655 3 3 2 1978 745
4 258 3 4 375 3 4 1 1973 384
